kra17 kra79
11.6524 1.16437e-17 1.26213e-17
11.664 1.16557e-17 1.26336e-17
11.6757 1.16676e-17 1.26459e-17
11.6874 1.16796e-17 1.26582e-17
11.699 1.16916e-17 1.26706e-17
11.7107 1.17036e-17 1.26829e-17
11.7224 1.17157e-17 1.26953e-17
11.7342 1.17277e-17 1.27077e-17
11.7459 1.17397e-17 1.27201e-17
11.7577 1.17518e-17 1.27325e-17
11.7694 1.17639e-17 1.27449e-17
11.7812 1.1776e-17 1.27573e-17
11.793 1.17881e-17 1.27698e-17
11.8048 1.18002e-17 1.27822e-17
11.8166 1.18123e-17 1.27947e-17
11.8284 1.18244e-17 1.28072e-17
11.8402 1.18366e-17 1.28197e-17
11.852 1.18487e-17 1.28322e-17
11.8639 1.18609e-17 1.28447e-17
11.8758 1.18731e-17 1.28573e-17
11.8876 1.18853e-17 1.28698e-17
11.8995 1.18975e-17 1.28824e-17
11.9114 1.19097e-17 1.28949e-17
11.9233 1.19219e-17 1.29075e-17
11.9353 1.19341e-17 1.29201e-17
11.9472 1.19464e-17 1.29327e-17
11.9591 1.19587e-17 1.29454e-17
11.9711 1.19709e-17 1.2958e-17
11.9831 1.19832e-17 1.29706e-17
11.9951 1.19955e-17 1.29833e-17
12.007 1.20079e-17 1.2996e-17
12.0191 1.20202e-17 1.30087e-17
12.0311 1.20325e-17 1.30214e-17
12.0431 1.20449e-17 1.30341e-17
12.0551 1.20572e-17 1.30468e-17
12.0672 1.20696e-17 1.30596e-17
12.0793 1.2082e-17 1.30723e-17
12.0913 1.20944e-17 1.30851e-17
12.1034 1.21068e-17 1.30979e-17
12.1155 1.21192e-17 1.31107e-17
12.1277 1.21317e-17 1.31235e-17
12.1398 1.21441e-17 1.31363e-17
12.1519 1.21566e-17 1.31491e-17
12.1641 1.21691e-17 1.3162e-17
12.1762 1.21816e-17 1.31748e-17
12.1884 1.21941e-17 1.31877e-17
12.2006 1.22066e-17 1.32006e-17
12.2128 1.22191e-17 1.32135e-17
12.225 1.22316e-17 1.32264e-17
12.2372 1.22442e-17 1.32393e-17
12.2495 1.22568e-17 1.32522e-17
12.2617 1.22693e-17 1.32652e-17
12.274 1.22819e-17 1.32781e-17
12.2863 1.22945e-17 1.32911e-17
12.2986 1.23071e-17 1.33041e-17
12.3109 1.23198e-17 1.33171e-17
12.3232 1.23324e-17 1.33301e-17
12.3355 1.23451e-17 1.33432e-17
12.3478 1.23577e-17 1.33562e-17
12.3602 1.23704e-17 1.33693e-17
12.3725 1.23831e-17 1.33823e-17
12.3849 1.23958e-17 1.33954e-17
12.3973 1.24085e-17 1.34085e-17
12.4097 1.24212e-17 1.34216e-17
12.4221 1.2434e-17 1.34347e-17
12.4345 1.24467e-17 1.34479e-17
12.447 1.24595e-17 1.3461e-17
12.4594 1.24723e-17 1.34742e-17
12.4719 1.24851e-17 1.34873e-17
12.4843 1.24979e-17 1.35005e-17
12.4968 1.25107e-17 1.35137e-17
12.5093 1.25235e-17 1.3527e-17
12.5218 1.25364e-17 1.35402e-17
12.5343 1.25492e-17 1.35534e-17
12.5469 1.25621e-17 1.35667e-17
12.5594 1.2575e-17 1.358e-17
12.572 1.25879e-17 1.35932e-17
12.5846 1.26008e-17 1.36065e-17
12.5971 1.26137e-17 1.36198e-17
12.6097 1.26266e-17 1.36332e-17
12.6223 1.26396e-17 1.36465e-17
12.635 1.26525e-17 1.36599e-17
12.6476 1.26655e-17 1.36732e-17
12.6603 1.26785e-17 1.36866e-17
12.6729 1.26915e-17 1.37e-17
12.6856 1.27045e-17 1.37134e-17
12.6983 1.27175e-17 1.37268e-17
12.711 1.27306e-17 1.37402e-17
12.7237 1.27436e-17 1.37537e-17
12.7364 1.27567e-17 1.37671e-17
12.7491 1.27698e-17 1.37806e-17
12.7619 1.27828e-17 1.37941e-17
12.7746 1.27959e-17 1.38076e-17
12.7874 1.28091e-17 1.38211e-17
12.8002 1.28222e-17 1.38347e-17
12.813 1.28353e-17 1.38482e-17
12.8258 1.28485e-17 1.38618e-17
12.8387 1.28617e-17 1.38753e-17
12.8515 1.28748e-17 1.38889e-17
12.8643 1.2888e-17 1.39025e-17
12.8772 1.29012e-17 1.39161e-17
12.8901 1.29145e-17 1.39297e-17
12.903 1.29277e-17 1.39434e-17
12.9159 1.29409e-17 1.3957e-17
12.9288 1.29542e-17 1.39707e-17
12.9417 1.29675e-17 1.39844e-17
12.9547 1.29808e-17 1.39981e-17
12.9676 1.29941e-17 1.40118e-17
12.9806 1.30074e-17 1.40255e-17
12.9936 1.30207e-17 1.40392e-17
13.0066 1.3034e-17 1.4053e-17
13.0196 1.30474e-17 1.40668e-17
13.0326 1.30608e-17 1.40805e-17
13.0456 1.30741e-17 1.40943e-17
13.0587 1.30875e-17 1.41081e-17
13.0717 1.31009e-17 1.41219e-17
13.0848 1.31144e-17 1.41358e-17
13.0979 1.31278e-17 1.41496e-17
13.111 1.31412e-17 1.41635e-17
13.1241 1.31547e-17 1.41774e-17
13.1372 1.31682e-17 1.41913e-17
13.1503 1.31817e-17 1.42052e-17
13.1635 1.31952e-17 1.42191e-17
13.1767 1.32087e-17 1.4233e-17
13.1898 1.32222e-17 1.4247e-17
13.203 1.32358e-17 1.42609e-17
13.2162 1.32493e-17 1.42749e-17
13.2294 1.32629e-17 1.42889e-17
13.2427 1.32765e-17 1.43029e-17
13.2559 1.32901e-17 1.43169e-17
13.2692 1.33037e-17 1.4331e-17
13.2824 1.33173e-17 1.4345e-17
13.2957 1.33309e-17 1.43591e-17
13.309 1.33446e-17 1.43731e-17
13.3223 1.33582e-17 1.43872e-17
13.3357 1.33719e-17 1.44013e-17
13.349 1.33856e-17 1.44154e-17
13.3623 1.33993e-17 1.44296e-17
13.3757 1.3413e-17 1.44437e-17
13.3891 1.34268e-17 1.44579e-17
13.4025 1.34405e-17 1.44721e-17
13.4159 1.34543e-17 1.44863e-17
13.4293 1.34681e-17 1.45005e-17
13.4427 1.34818e-17 1.45147e-17
13.4562 1.34956e-17 1.45289e-17
13.4696 1.35095e-17 1.45432e-17
13.4831 1.35233e-17 1.45574e-17
13.4966 1.35371e-17 1.45717e-17
13.5101 1.3551e-17 1.4586e-17
13.5236 1.35649e-17 1.46003e-17
13.5371 1.35787e-17 1.46146e-17
13.5506 1.35926e-17 1.4629e-17
13.5642 1.36066e-17 1.46433e-17
13.5777 1.36205e-17 1.46577e-17
13.5913 1.36344e-17 1.46721e-17
13.6049 1.36484e-17 1.46864e-17
13.6185 1.36623e-17 1.47009e-17
13.6321 1.36763e-17 1.47153e-17
13.6458 1.36903e-17 1.47297e-17
13.6594 1.37043e-17 1.47442e-17
13.6731 1.37184e-17 1.47586e-17
13.6867 1.37324e-17 1.47731e-17
13.7004 1.37464e-17 1.47876e-17
13.7141 1.37605e-17 1.48021e-17
13.7279 1.37746e-17 1.48167e-17
13.7416 1.37887e-17 1.48312e-17
13.7553 1.38028e-17 1.48458e-17
13.7691 1.38169e-17 1.48603e-17
13.7828 1.38311e-17 1.48749e-17
13.7966 1.38452e-17 1.48895e-17
13.8104 1.38594e-17 1.49041e-17
13.8242 1.38735e-17 1.49188e-17
13.8381 1.38877e-17 1.49334e-17
13.8519 1.39019e-17 1.49481e-17
13.8657 1.39162e-17 1.49627e-17
13.8796 1.39304e-17 1.49774e-17
13.8935 1.39447e-17 1.49921e-17
13.9074 1.39589e-17 1.50069e-17
13.9213 1.39732e-17 1.50216e-17
13.9352 1.39875e-17 1.50363e-17
13.9492 1.40018e-17 1.50511e-17
13.9631 1.40161e-17 1.50659e-17
13.9771 1.40305e-17 1.50807e-17
13.991 1.40448e-17 1.50955e-17
14.005 1.40592e-17 1.51103e-17
14.019 1.40735e-17 1.51252e-17
14.0331 1.40879e-17 1.514e-17
14.0471 1.41023e-17 1.51549e-17
14.0611 1.41168e-17 1.51698e-17
14.0752 1.41312e-17 1.51847e-17
14.0893 1.41457e-17 1.51996e-17
14.1034 1.41601e-17 1.52145e-17
14.1175 1.41746e-17 1.52295e-17
14.1316 1.41891e-17 1.52444e-17
14.1457 1.42036e-17 1.52594e-17
14.1599 1.42181e-17 1.52744e-17
14.174 1.42327e-17 1.52894e-17
14.1882 1.42472e-17 1.53044e-17
14.2024 1.42618e-17 1.53194e-17
14.2166 1.42764e-17 1.53345e-17
14.2308 1.4291e-17 1.53496e-17
14.245 1.43056e-17 1.53647e-17
14.2593 1.43202e-17 1.53798e-17
14.2735 1.43348e-17 1.53949e-17
